name,host_star_name,url,planet_type,mass,planet_radius,orbital_period,orbit_distance,eccentricity,discovery_method,host_star_type
HD 64114 b,HD 64114,https://science.nasa.gov/exoplanet-catalog/hd-64114-b/,Neptune-like,17.8,0.393,45.8,0.246,0.12,Radial Velocity,G
HD 64121 b,HD 64121,https://science.nasa.gov/exoplanet-catalog/hd-64121-b/,Gas Giant,813.6448,1.18,1.7,1.51,0.11,Radial Velocity,K
HD 6434 b,HD 6434,https://science.nasa.gov/exoplanet-catalog/hd-6434-b/,Gas Giant,155.73669999999998,1.27,22,0.14,0.17,Radial Velocity,G
HD 65216 b,HD 65216,https://science.nasa.gov/exoplanet-catalog/hd-65216-b/,Gas Giant,411.58984999999996,1.22,1.6,1.301,0.27,Radial Velocity,G
HD 65216 c,HD 65216,https://science.nasa.gov/exoplanet-catalog/hd-65216-c/,Gas Giant,645.1949,1.19,14.7,5.75,0.17,Radial Velocity,G
HD 66141 b,HD 66141,https://science.nasa.gov/exoplanet-catalog/hd-66141-b/,Gas Giant,1906.98,1.14,480.5,1.2,0.07,Radial Velocity,K
HD 66428 b,HD 66428,https://science.nasa.gov/exoplanet-catalog/hd-66428-b/,Gas Giant,3478.9671799999996,1.11,6.2,3.395,0.47,Radial Velocity,G
HD 66428 c,HD 66428,https://science.nasa.gov/exoplanet-catalog/hd-66428-c/,Gas Giant,560.65212,1.2,28.7,9.408,0.21,Radial Velocity,G
HD 67087 b,HD 67087,https://science.nasa.gov/exoplanet-catalog/hd-67087-b/,Gas Giant,972.5598,1.17,352.2,1.08,0.17,Radial Velocity,F
HD 67087 c,HD 67087,https://science.nasa.gov/exoplanet-catalog/hd-67087-c/,Gas Giant,1541.4754999999998,1.15,6.5,3.86,0.76,Radial Velocity,F
HD 6718 b,HD 6718,https://science.nasa.gov/exoplanet-catalog/hd-6718-b/,Gas Giant,533.9544,1.2,6.8,3.55,0.1,Radial Velocity,G
HD 68402 b,HD 68402,https://science.nasa.gov/exoplanet-catalog/hd-68402-b/,Gas Giant,2510.857,1.12,3,2.18,0.03,Radial Velocity,G
HD 6860 b,HD 6860,https://science.nasa.gov/exoplanet-catalog/hd-6860-b/,Gas Giant,8981.8758,1.06,1.8,2.03,0.28,Radial Velocity,M
HD 68988 b,HD 68988,https://science.nasa.gov/exoplanet-catalog/hd-68988-b/,Gas Giant,626.1251,1.2,6.3,0.07,0.12,Radial Velocity,G
HD 68988 c,HD 68988,https://science.nasa.gov/exoplanet-catalog/hd-68988-c/,Gas Giant,4767.45,1.09,43.8,13.2,0.45,Radial Velocity,G
HD 69123 b,HD 69123,https://science.nasa.gov/exoplanet-catalog/hd-69123-b/,Gas Giant,982.0946999999999,1.17,3.3,2.482,0.19,Radial Velocity,K
HD 69830 b,HD 69830,https://science.nasa.gov/exoplanet-catalog/hd-69830-b/,Neptune-like,10.2,0.283,8.7,0.0785,0.1,Radial Velocity,G
HD 69830 c,HD 69830,https://science.nasa.gov/exoplanet-catalog/hd-69830-c/,Neptune-like,11.8,0.309,31.6,0.186,0.13,Radial Velocity,G
HD 69830 d,HD 69830,https://science.nasa.gov/exoplanet-catalog/hd-69830-d/,Neptune-like,18.1,0.397,197,0.63,0.07,Radial Velocity,G
HD 70573 b,HD 70573,https://science.nasa.gov/exoplanet-catalog/hd-70573-b/,Gas Giant,1938.7629999999997,1.14,2.3,1.76,0.4,Radial Velocity,G
HD 70642 b,HD 70642,https://science.nasa.gov/exoplanet-catalog/hd-70642-b/,Gas Giant,1239.5369999999998,1.16,5.8,3.318,0.17,Radial Velocity,G
HD 7199 b,HD 7199,https://science.nasa.gov/exoplanet-catalog/hd-7199-b/,Gas Giant,85.8141,0.993,1.7,1.36,0.19,Radial Velocity,G
HD 72490 b,HD 72490,https://science.nasa.gov/exoplanet-catalog/hd-72490-b/,Gas Giant,561.92344,1.2,2.4,1.88,0.12,Radial Velocity,K
HD 72659 b,HD 72659,https://science.nasa.gov/exoplanet-catalog/hd-72659-b/,Gas Giant,949.67604,1.17,9.7,4.691,0.26,Radial Velocity,G
HD 72659 c,HD 72659,https://science.nasa.gov/exoplanet-catalog/hd-72659-c/,Gas Giant,5977.11098,1.08,49.9,13.959,0.09,Radial Velocity,G
HD 72892 b,HD 72892,https://science.nasa.gov/exoplanet-catalog/hd-72892-b/,Gas Giant,1737.8944399999998,1.14,39.4,0.228,0.42,Radial Velocity,G
HD 73256 c,HD 73256,https://science.nasa.gov/exoplanet-catalog/hd-73256-c/,Gas Giant,5085.28,1.09,7.4,3.8,0.16,Radial Velocity,G
HD 73267 b,HD 73267,https://science.nasa.gov/exoplanet-catalog/hd-73267-b/,Gas Giant,1321.5371400000001,1.16,3.4,2.229,0.26,Radial Velocity,G
HD 73267 c,HD 73267,https://science.nasa.gov/exoplanet-catalog/hd-73267-c/,Gas Giant,1630.78573,1.15,46.8,12.688,0.09,Radial Velocity,G
HD 73344 b,HD 73344,https://science.nasa.gov/exoplanet-catalog/hd-73344-b/,Neptune-like,10.48,0.25729369,15.6,0.131,0.03,Transit,F
HD 73344 c,HD 73344,https://science.nasa.gov/exoplanet-catalog/hd-73344-c/,Gas Giant,118.55059,1.2,65.9,0.3388,0.12,Radial Velocity,F
HD 73344 d,HD 73344,https://science.nasa.gov/exoplanet-catalog/hd-73344-d/,Gas Giant,810.4664999999999,1.18,16,6.7,0.18,Radial Velocity,F
HD 73526 b,HD 73526,https://science.nasa.gov/exoplanet-catalog/hd-73526-b/,Gas Giant,978.9164,1.17,188.3,0.65,0.19,Radial Velocity,G
HD 73526 c,HD 73526,https://science.nasa.gov/exoplanet-catalog/hd-73526-c/,Gas Giant,715.1175,1.19,379.1,1.03,0.28,Radial Velocity,G
HD 73534 b,HD 73534,https://science.nasa.gov/exoplanet-catalog/hd-73534-b/,Gas Giant,353.42696,1.23,4.8,2.99,0.13,Radial Velocity,K
HD 73583 b,HD 73583,https://science.nasa.gov/exoplanet-catalog/hd-73583-b/,Neptune-like,10.2,0.24890756,6.4,0.0604,0.09,Transit,K
HD 73583 c,HD 73583,https://science.nasa.gov/exoplanet-catalog/hd-73583-c/,Super Earth,9.7,2.39,18.9,0.1242,0.08,Transit,K
HD 74156 b,HD 74156,https://science.nasa.gov/exoplanet-catalog/hd-74156-b/,Gas Giant,532.36525,1.2,51.6,0.28,0.64,Radial Velocity,F
HD 74156 c,HD 74156,https://science.nasa.gov/exoplanet-catalog/hd-74156-c/,Gas Giant,2753.9969499999997,1.12,6.7,3.678,0.38,Radial Velocity,F
